,store,store_name,branch,user,content,score,big_cate
950,4047,88선수촌,석촌호수점,441414,"['#석촌호수', '#석촌고분역', '#88선수촌', '\n\n', '인테리어', '소품', '메뉴판', '직원', '복장', '잠수교', '뉴트', '고깃집', '이끌다', '88', '선수촌', '밑반찬', '소스', '고기', '어울리다', '라인', '후추', '준비', '완료', '고기', '파채', '계란', '간장', '소스', '어울림', '밑반찬', '계란말이', '감자', '사라다', '김치', '약하다', '느낌', '김치찌개', '보통', '전체', '음식', '서비스', '분위기', '요즈음', '트렌디', '분위기', '어울림']",4,고기
951,4048,88선수촌,다산점,287457,"['맛있다', '일단', '고기', '직원', '분들', '굽다', '먹기', '메인', '음식', '모두', '깔끔하다', '맛있다']",4,고기
952,4048,88선수촌,다산점,355775,"['다산', '신도시', '아날로그', '빈티', '개다', '귀엽다', '어유']",4,고기
953,4049,88선수촌,신도림디큐브시티점,391957,"['추억', '돋다', '식당', '가게', '노래', '8090', '안성맞춤']",5,고기
954,4050,88선수촌,신사점,361727,"['신사동', '가로수길', '근처', '미팅', '끝나다', '발견', '가로수', '이런', '골목', '안쪽', '위치', '주소', '찍다', '일단', '없이', '88년', '이라는', '추억', '때문', '헐다', '분위기', '광고', '소품', '소품', 'tv', '플래시맨', '모두', '당시', '추억', '담다', '두다', '일단', '냉동', '삼겹', '180', '기준', '개인', '평가', '가성', '3~4', '일단', '꽈리', '고추', '사이드', '인상', '개인', '묵은지', '아주', '아주', '김치', '구어', '그닥', '즐기다', '하진', '당연하다', '김치찌개', '양푼', '메인', '삼겹살', '역시', '지방', '고르다', '퍼지다', '상당하다', '마지막', '껍데기', '일반', '껍데기', '칼집', '껍데기', '등등', '만큼', '껍데기', '개취', '껍데기', '질감', '아주', '굽다', '도구', '역시', '무겁다', '쇳덩이', '누르다', '상당하다', '소스', '장도', '맞다', '소스', '뿌리다', '아마', '보시', '따르다', '마지막', '소스', '때문', '호불호', '나뉘다', '보이다', '개인', '마지막', '소스', '코팅', '소스', '때문', '아이덴티티', '시간', '10분', '지나다', '달다', '질리다', '일단', '개인', '점수', '10', '8.5', '강추']",5,고기
955,4050,88선수촌,신사점,166,"['요즘', '88', '선수촌', '냉삼', '고기', '보이다', '이집', '카스테라', '껍데기', '유명하다', '여자', '다섯', '이슬', '달리', '껍데기', '사진', '모양', '고기', '굽다', '두껍다', '쫀득', '쫀득', '맛있다']",5,고기
985,4174,8번식당,침산점,831592,"['돼지', '냄새', '너무나']",1,한식
999,4258,929숯불닭갈비,덕소점,203957,"['가성', '맛있다']",5,한식
1014,4401,99스트리트,천호점,108936,"['천호동', '숨다', '맛집', '치킨', '맛있다', '주변', '치킨', '후라이드', '생맥주', '함께', '녹다', '버리다', '돈까스', '치킨', '식사', '메뉴', '맛있다', '없어지다', '두렵다', '보물']",5,치킨
1076,5045,BBQ,광릉점,392082,"['가볍다', '치맥', '다만', '내부', '시끄럽다', '대화', '힘드다', '매장', '깔끔하다', '편이', '규모', '작다', '동네', '주민', '치맥']",3,치킨
1077,5045,BBQ,광릉점,217543,"['가족', '위로', '기도', '한잔', '동네', '분들', '들르다', '매장', '작고', '테이블', '다닥다닥', '시끄럽다', '대화', '어리다', '치맥', '땡기다', '잠깐', '맥주']",3,치킨
1078,5083,BBQ 치킨,대학로점,53368,"['배달', '안해', '매장', '잇다', '파닭', '메뉴', '잇다', '잇다', '친절하다']",3,치킨
1086,5525,BBQ치킨,은평뉴타운구파발점,315409,"['비비큐', '오랜', '맛있다', '굿굿굿']",4,치킨
1093,5923,BBQ치킨,유탑마리나점,307295,"['호텔', '비비큐', '시간', '맛있다']",5,치킨
1094,5926,BBQ치킨,창동점,170268,"['상가', '마당', '아이', '풀다', '뛰어놀다', '부모님', '치맥']",4,치킨
1095,5927,BBQ치킨,청룡점,362905,"['내부', '상당하다', '작다', '테이블', '개정', '배달', '위주', '치킨', '\n\n', '치킨', '아주', '맛있다', '프렌', '이즈', '치킨', '평타', '중하', '수준', '야식', '당기다', 'BBQ', '치킨']",3,치킨
1104,6064,BHC,일월점,12567,"['크기', '배달', '링클', '사먹다', '역시', '치킨', '맛있다', '근데', '치킨', '이렇게', '비싸다']",5,치킨
1106,6101,BHC,성남점,177889,"['존맛', '사장', '잘생기다', '맛있다']",5,치킨
1107,6120,BHC,자양점,470723,"['BHC', '치킨', '\n\n', '존재', '프랜차이즈', '치킨', '\n\n', '나쁘다', '그렇다고', '기대하다', '개인', '후라이드', '교촌', '훨씬', '분위기', '\n\n', '양념', 'BBQ', 'BHC', '후라이드', '교촌']",3,치킨
1118,6277,BHC치킨,진주하대점,315210,"['매장', '생맥', '함께', '금방', '튀기다', '치킨', '바로', '하대동', '특성', '주차', '복개천', '저녁', '주차공간', '부족하다']",4,치킨
1119,6277,BHC치킨,진주하대점,87774,"['뿌링클', '블랙', '올리브', '치킨', '뿌링', '치즈볼', '주문', '생맥', '맛있다', '직원', '친절하다', '따뜻하다', '치킨', '바로']",4,치킨
1125,6440,BHC치킨,개롱역점,70650,"['한동안', '오랜', '역시', '맛있다']",4,치킨
1128,6485,BHC치킨,노원역점,131358,"['링클', '치킨', '먹음', '호불호', '갈리다', '뿌링뿌링소스', '더욱', '호불호', '갈림', '그래도', '한번']",3,치킨
1132,6592,BHC치킨,사당점,217350,"['솔직하다', '요즘', '치킨', '비싸다', '느끼다', '그래도', '잇다', '인정']",5,치킨
1133,6592,BHC치킨,사당점,4629,"['역시', '만만하다', '링클', '달달', '맛있다', '마르다', '메뉴', '매콤', '양념치킨', '느낌']",3,치킨
1134,6592,BHC치킨,사당점,322597,"['직원', '친절하다', '뿌링클', '맛있다', '가게', '골목', '바로', '크게', '찾기', '쉬다', '방문', '의사', '100%', '!!']",5,치킨
1135,6592,BHC치킨,사당점,72686,"['뿌링클', '먹음', '근데', '짜다', '맛초킹', '뿌링클']",5,치킨
1141,6745,BHC치킨,제주신화월드점,328775,"['매콤', '치다', '치킨', '화장실', '힘들다']",3,치킨
1142,6746,BHC치킨,한강잠실1호점,855812,"['지하', '주문', '구조', '경치']",5,치킨
1143,6747,BHC치킨,삼산7단지점,725789,"['오랜', '뿌링클', '임금', '인상', '높다', '치킨', '인상', '느끼다', '그래도', '굉장하다', '안정']",4,치킨
1144,6749,BHC치킨,의성점,149529,"['치킨', '수혈', '정신', '건강하다', '역시', '치킨']",4,치킨
1145,6750,BHC치킨,배곧신도시점,501275,"['BHC', '늘다', '치즈볼', '가요', '맛초킹', '맛있다', '치다', '처음', '처음', '사장', '친절하다']",5,치킨
1146,6756,BHC치킨,여의도역점,190766,"['벚꽃', '마지막', '배달', '많다', '오래', '기름', '넘다', '많다']",3,치킨
1165,7014,BRCD,건대점,391794,"['카페', '커피', '브런치', '종류', '커피', '진하다', '내리다', '뭔가', '느껴지다', '브런치', '그럭저럭', '사실', '대비', '만족스럽다', '퀄리티', '평타', '\n\n', '분위기', '나름', '고급스럽다', '깔끔하다', '주차', '제공', '서비스', '평범하다', '수준']",3,카페
1166,7014,BRCD,건대점,85688,"['KT', '멤버십', '15%', '할인', '가능', '식사', '이용', '카페', '메뉴', '20%', '할인', '혜택', '\n\n', '개인', '카페', '빙수', '식사', '시즌', '메뉴', '고정', '메뉴', '고정', '메뉴', '\n\n', '멕시칸', '미트', '칠리', '피자', '특유', '멕시칸', '향신료', '냄새', '꼬리', '꼬리', '씬도우', '미트', '칠리', '제대로', '추천', '메뉴', '\n\n', '스파이', '토마토', '파스타', '스파이', '할라피뇨', '마늘', '맵다', '딱하다', '느껴지다', '토마토', '평범하다', '파스타', '메뉴', '추천', '드리다']",4,카페
1167,7014,BRCD,건대점,145101,"['스타', '시티', '카페', '펍인데', '분위기', '티라미수', '이세', '19년', '11월', '29일', '닫다', '아쉽다']",5,카페
1168,7014,BRCD,건대점,5666,"['건대', '구역', '롯데', '백화점', '카페', '레스토랑', '겸용']",3,카페
1170,7014,BRCD,건대점,32143,"['해도', '맛있다', '최근', '가보다', '여러', '모로', '처참', '아라비아', '따다', '소스', '따로', '놀다', '에그', '베네딕트', '제대로', '없이', '부실하다', '저렴하다', '편도', '서비스', '남자', '사장', '직원', '고압', '태도', '느껴지다', '불편하다', '나서다', '아깝다', '친구', '미안하다', '갈다']",1,카페
1172,7014,BRCD,건대점,637707,"['서비스', '엄청나다', '불친절하다', '유명하다', '설레다', '웨이팅', '주문', '잊어버리다', '30분', '지나', '테이블', '먼저', '음식', '보고', '알바', '부르다', '미안하다', '하나', '없이', '30분', '가지', '서다', '던지다', '보고', '기분', '나쁘다', '알바', '본인', '낄낄', '거리', '대충', '대하', '고요', '양도', '적다', '인스타', '사진', '찍다', '커플', '인테리어', '이쁘다', '리뷰', '읽다', '절대', '가지', '이렇게', '비주', '개죽', '아라비아', '따다', '처음']",1,카페
1190,7111,C27,현대시티아울렛가산점,190766,"['케익', '맛있다', '비싸다', '함정', '만족하다']",4,카페
1274,7797,Chai797,을지로점 (시그니처타워),213301,"['비싸다', '친절하다', '깨끗하다', '격식', '정작', '따라가다', '현실', '안타깝다']",3,중식
1275,7798,Chai797,시청점,129686,"['인테리어', '깔끔하다', '비싸다', '메뉴', '만원', '이상', '볶음밥', '중국집', '비교', '특별하다', '맛있다', '비슷하다', '탕수육', '중상', '분위기', '조용하다', '대화', '지장', '직원', '친절하다', '몰리다', '시간', '주문', '오래', '기다리다', '요리', '15분', '이상']",3,중식
1467,9107,KFC,광장동점,816423,"['버거', '치킨', '특히', '치킨', '맛있다', 'kfc']",4,치킨
1473,9138,KFC,연신내역점,30196,"['원래', 'kfc', '좋아하다', '이상하다', '치킨', '하나', '누리다', '나머지', '치킨', '매장', '깔끔하다']",3,치킨
1474,9138,KFC,연신내역점,315409,"['매장', '크다', '자리', '많다', '크게', '붐비다']",4,치킨
1475,9139,KFC,불광역,3816,"['닭똥집', '튀김', '맛있다', '맥주', '파다', '치킨', '사이드', '메뉴', '맥주', '안주', '간식', '맛있다', '근데', '스콘', '지점', '밀가루', '익히다', '밀다']",4,치킨
1476,9140,KFC,이수역점,53368,"['똥집', '튀김', '껍질', '튀김', '잇다', '치즈스틱', '버거', '체인점', '잇다', '간단하다', '혼술']",3,치킨
1477,9141,KFC,인하대,361309,"['KFC', '단순하다', '버거', '세트', '다양하다', '디저트', '튀김', '팔고', '\n\n', '타르트', '박스', '4900원', '에그', '타르트', '가성', '일단', '방문', '의사']",3,치킨
1478,9141,KFC,인하대,148586,"['생기다', '얼마', '안되다', '품질', '관리', '대신', '붐비다', '붐비다', '슬로우푸드', '받다']",4,치킨
1481,9160,KFC,코엑스몰점,469245,"['점심', '착하다', '점심', '좋아하다', 'kfc', '새롭다', '메뉴', '5000원', '이라길래', '코엑스', 'kfc']",5,치킨
1483,9164,KFC,망우동점,127124,"['KFC', '망우동', '🍔🍟', '\n\n', '오늘', '강아지', '땜시', '매장', '팔자', '려니', '배달', '포장', '해갈', '포장', '최고', '개인', '감자', '튀김', '통통하다', '좋아하다', '패티', '두께', '어마어마하다', '개인', '치킨', '버거', '케이에프씨', '최고']",5,치킨
